month,year,calendar_month,included_n,frame_n,m0_retained_n,same_year_version_n,identified_per10000_frame,included_per_m0_retained,fulltext_candidates_n,within_year_month_share,frame_share_within_year,frame_normalized_month_index,same_year_version_month_share,local_neighbor_ratio
2023-10,2023,10,172,20371,3056,96,84.43375386578961,0.056282722513089,199,0.1997677119628339,0.09736454708828815,2.051750025414165,0.1893491124260355,1.4114398831054291
2023-11,2023,11,149,18897,2835,63,78.84849447002169,0.05255731922398589,172,0.17305458768873402,0.0903194662180247,1.9160275734025343,0.1242603550295858,1.1757919767537621
2023-12,2023,12,91,18315,2748,41,49.686049686049685,0.033114992721979625,108,0.10569105691056911,0.08753775857454212,1.2073767781084854,0.08086785009861933,
2024-01,2024,1,122,17623,2644,116,69.22771378312433,0.046142208774583963,136,0.04460694698354662,0.07231669484431168,0.6168277889300597,0.0627027027027027,
2024-02,2024,2,254,19522,2929,217,130.1096199159922,0.08671901672925914,290,0.09287020109689213,0.08010931831984636,1.1592933636770741,0.11729729729729729,1.6504697705090332
2024-03,2024,3,184,20806,3121,160,88.43602806882629,0.05895546299263057,215,0.06727605118829982,0.08537826436649541,0.787976327318041,0.08648648648648649,0.8243767617864651
2024-04,2024,4,163,19303,2896,139,84.44283272030255,0.056284530386740333,196,0.059597806215722124,0.07921064294273099,0.7523964457504925,0.07513513513513513,1.0407137818432233
2024-05,2024,5,156,21126,3169,120,73.84265833570008,0.049226885452824234,180,0.057038391224862886,0.0866913973376229,0.6579475354714232,0.06486486486486487,0.5168759648281593
2024-06,2024,6,417,20717,3108,300,201.28396968673073,0.13416988416988418,454,0.15246800731261426,0.08501304925890057,1.7934659283692425,0.16216216216216217,2.257025490776974
2024-07,2024,7,216,20666,3100,156,104.51950062905256,0.0696774193548387,254,0.0789762340036563,0.08480376869162713,0.9312821260436955,0.08432432432432432,0.7028628702980525
2024-08,2024,8,171,17789,2669,109,96.12681994490977,0.06406893967778195,190,0.06252285191956124,0.07299788257308405,0.8565022671303456,0.05891891891891892,0.9366217036028699
2024-09,2024,9,206,20448,3068,121,100.7433489827856,0.06714471968709257,226,0.0753199268738574,0.08390919685504654,0.8976361316385004,0.0654054054054054,0.7816892482920896
2024-10,2024,10,390,24129,3620,205,161.63123212731566,0.10773480662983426,425,0.1425959780621572,0.09901432956354743,1.4401549623243075,0.11081081081081082,1.6479895750617493
2024-11,2024,11,193,20228,3035,91,95.41229978247972,0.06359143327841846,216,0.07056672760511883,0.08300641793739638,0.8501358010454132,0.049189189189189186,0.6697883104321718
2024-12,2024,12,263,21335,3201,116,123.271619404734,0.08216182442986567,305,0.09616087751371115,0.08754903730939054,1.0983659040577125,0.0627027027027027,
2025-01,2025,1,181,18932,2840,167,95.605324318614,0.06373239436619718,206,0.03429979154822816,0.06662396801824312,0.5148266092292209,0.04126513466765505,
2025-02,2025,2,391,21532,3230,356,181.59019134311723,0.12105263157894737,433,0.07409512980860337,0.0757736783947185,0.9778478672056637,0.08796639486039042,1.442093248193681
2025-03,2025,3,381,24386,3658,329,156.23718527023703,0.10415527610716238,422,0.07220011370096646,0.08581724509258803,0.8413240674769963,0.08129478626142822,0.9700054694227364
2025-04,2025,4,305,21701,3256,266,140.5465185936132,0.09367321867321868,339,0.057797991282925905,0.0763684095691894,0.756831150589318,0.06572769953051644,0.6605422704257333
2025-05,2025,5,691,25658,3849,538,269.3117156442435,0.1795271499090673,761,0.13094561303771082,0.09029356493830984,1.4502208781675103,0.13293797874969113,1.473585818434938
2025-06,2025,6,529,23514,3528,436,224.97235689376544,0.14994331065759636,570,0.1002463520939928,0.0827485729970932,1.2114571703552428,0.10773412404250061,1.0717045505389933
2025-07,2025,7,356,23650,3548,287,150.52854122621565,0.10033821871476889,379,0.06746257343187417,0.08322717323217038,0.8105835006997137,0.07091672844082036,0.709834957354558
2025-08,2025,8,450,22596,3390,350,199.15029208709504,0.13274336283185842,487,0.08527572484366117,0.07951802141032228,1.072407528900002,0.08648381517173215,1.1452286215204541
2025-09,2025,9,516,26158,3924,362,197.2627876748987,0.13149847094801223,557,0.0977828311540648,0.09205312462609357,1.0622434768102058,0.08944897454904868,0.9303407415544072
2025-10,2025,10,618,27477,4122,389,224.91538377552135,0.14992721979621543,673,0.11711199545196134,0.09669484308246705,1.21115037491794,0.09612058314801088,1.1610264425430712
2025-11,2025,11,464,24398,3660,319,190.1795229117141,0.126775956284153,524,0.08792874739435286,0.08585947452509483,1.0241006933795433,0.07882382011366444,0.9792751445424531
2025-12,2025,12,395,24160,3624,248,163.4933774834437,0.10899558498896247,439,0.07485313625165814,0.08502192411370979,0.8803980506433642,0.061279960464541636,
2026-01,2026,1,610,24135,3621,610,252.7449761756785,0.16846175089754212,675,0.10638297872340426,0.10480264014937687,1.0150791866671955,0.10638297872340426,
2026-02,2026,2,585,24378,3657,585,239.9704651735171,0.15996718621821165,631,0.10202302057900244,0.10585783142993617,0.9637739522987312,0.10202302057900244,1.027505098013876
2026-03,2026,3,634,29578,4437,634,214.3485022651971,0.14288933964390355,699,0.11056853854203,0.1284380563637153,0.8608705369140608,0.11056853854203,0.8755782721055237
2026-04,2026,4,704,28200,4230,704,249.645390070922,0.16643026004728131,757,0.12277642134635508,0.12245429675626385,1.0026305699238336,0.12277642134635508,0.9870186216051525
2026-05,2026,5,963,33035,4956,963,291.5090056001211,0.19430992736077482,1047,0.16794558772235788,0.14344956359372965,1.1707640198753382,0.16794558772235788,1.1414421043078353
2026-06,2026,6,809,30981,4648,809,261.1277879990962,0.17405335628227195,871,0.1410882455528427,0.13453037474488688,1.0487463951571654,0.1410882455528427,1.0355231028682752
2026-07,2026,7,628,29507,4427,628,212.8308536957332,0.14185678789247796,688,0.10952214858737357,0.12812974944635025,0.8547753278268295,0.10952214858737357,0.8123973073255085
2026-08,2026,8,801,30476,4572,801,262.82976768604806,0.17519685039370078,876,0.1396930589466341,0.132337487515741,1.0555819183889084,0.1396930589466341,
