window,year,group,metric,n,valid_n,included_n,missing_n,share,known_n,known_positive_n,known_share,sparse
observed,all,domain:healthcare_biomedicine,en_only,1288,1675,1675,0,0.768955223880597,1640,1288,0.7853658536585366,False
observed,all,domain:healthcare_biomedicine,en_any,1486,1675,1675,0,0.8871641791044776,1640,1470,0.8963414634146342,False
observed,all,domain:healthcare_biomedicine,named_non_en,362,1675,1675,0,0.21611940298507462,1640,352,0.2146341463414634,False
observed,all,domain:healthcare_biomedicine,multiple_named,202,1675,1675,0,0.12059701492537313,1640,193,0.11768292682926829,False
observed,all,domain:healthcare_biomedicine,sentinel_present,35,1675,1675,0,0.020895522388059702,1640,0,0.0,False
observed,all,domain:language_and_communication,en_only,1246,2260,2281,21,0.5513274336283186,2201,1246,0.5661063153112221,False
observed,all,domain:language_and_communication,en_any,1878,2260,2281,21,0.8309734513274336,2201,1841,0.8364379827351204,False
observed,all,domain:language_and_communication,named_non_en,980,2260,2281,21,0.4336283185840708,2201,955,0.4338936846887778,False
observed,all,domain:language_and_communication,multiple_named,663,2260,2281,21,0.29336283185840706,2201,640,0.2907769195820082,False
observed,all,domain:language_and_communication,sentinel_present,59,2260,2281,21,0.026106194690265486,2201,0,0.0,False
observed,all,domain:law_and_public_policy,en_only,278,511,511,0,0.5440313111545988,504,278,0.5515873015873016,False
observed,all,domain:law_and_public_policy,en_any,367,511,511,0,0.7181996086105675,504,363,0.7202380952380952,False
observed,all,domain:law_and_public_policy,named_non_en,229,511,511,0,0.4481409001956947,504,226,0.44841269841269843,False
observed,all,domain:law_and_public_policy,multiple_named,95,511,511,0,0.18590998043052837,504,92,0.18253968253968253,False
observed,all,domain:law_and_public_policy,sentinel_present,7,511,511,0,0.0136986301369863,504,0,0.0,False
observed,all,domain:mathematics_and_formal_reasoning,en_only,1236,1583,1587,4,0.7807959570435882,1539,1236,0.8031189083820662,False
observed,all,domain:mathematics_and_formal_reasoning,en_any,1447,1583,1587,4,0.914087176247631,1539,1431,0.9298245614035088,False
observed,all,domain:mathematics_and_formal_reasoning,named_non_en,317,1583,1587,4,0.20025268477574226,1539,303,0.1968810916179337,False
observed,all,domain:mathematics_and_formal_reasoning,multiple_named,213,1583,1587,4,0.13455464308275428,1539,200,0.1299545159194282,False
observed,all,domain:mathematics_and_formal_reasoning,sentinel_present,44,1583,1587,4,0.027795325331648767,1539,0,0.0,False
observed,all,domain:natural_sciences,en_only,1040,1273,1273,0,0.816967792615868,1255,1040,0.8286852589641435,False
observed,all,domain:natural_sciences,en_any,1175,1273,1273,0,0.9230164964650432,1255,1164,0.9274900398406375,False
observed,all,domain:natural_sciences,named_non_en,222,1273,1273,0,0.1743912018853103,1255,215,0.17131474103585656,False
observed,all,domain:natural_sciences,multiple_named,137,1273,1273,0,0.10761979575805185,1255,130,0.10358565737051793,False
observed,all,domain:natural_sciences,sentinel_present,18,1273,1273,0,0.014139827179890024,1255,0,0.0,False
observed,all,domain:other,en_only,485,566,566,0,0.8568904593639576,551,485,0.8802177858439202,False
observed,all,domain:other,en_any,531,566,566,0,0.9381625441696113,551,529,0.9600725952813067,False
observed,all,domain:other,named_non_en,67,566,566,0,0.11837455830388692,551,66,0.11978221415607986,False
observed,all,domain:other,multiple_named,46,566,566,0,0.0812720848056537,551,45,0.08166969147005444,False
observed,all,domain:other,sentinel_present,15,566,566,0,0.026501766784452298,551,0,0.0,False
observed,all,domain:social_sciences_and_humanities,en_only,1127,1694,1699,5,0.6652892561983471,1655,1127,0.6809667673716012,False
observed,all,domain:social_sciences_and_humanities,en_any,1460,1694,1699,5,0.8618654073199528,1655,1441,0.8706948640483384,False
observed,all,domain:social_sciences_and_humanities,named_non_en,544,1694,1699,5,0.32113341204250295,1655,528,0.3190332326283988,False
observed,all,domain:social_sciences_and_humanities,multiple_named,350,1694,1699,5,0.2066115702479339,1655,335,0.20241691842900303,False
observed,all,domain:social_sciences_and_humanities,sentinel_present,39,1694,1699,5,0.023022432113341203,1655,0,0.0,False
observed,all,domain:software_and_coding,en_only,2404,2652,2653,1,0.9064856711915535,2591,2404,0.9278270937861829,False
observed,all,domain:software_and_coding,en_any,2568,2652,2653,1,0.9683257918552036,2591,2552,0.9849478965650328,False
observed,all,domain:software_and_coding,named_non_en,197,2652,2653,1,0.07428355957767722,2591,187,0.07217290621381706,False
observed,all,domain:software_and_coding,multiple_named,159,2652,2653,1,0.05995475113122172,2591,150,0.057892705519104595,False
observed,all,domain:software_and_coding,sentinel_present,61,2652,2653,1,0.023001508295625944,2591,0,0.0,False
observed,2022,all,en_only,124,160,160,0,0.775,158,124,0.7848101265822784,False
observed,2022,all,en_any,147,160,160,0,0.91875,158,145,0.9177215189873418,False
observed,2022,all,named_non_en,35,160,160,0,0.21875,158,34,0.21518987341772153,False
observed,2022,all,multiple_named,24,160,160,0,0.15,158,23,0.14556962025316456,False
observed,2022,all,sentinel_present,2,160,160,0,0.0125,158,0,0.0,False
observed,2022,agent,en_only,3,4,4,0,0.75,4,3,0.75,True
observed,2022,agent,en_any,4,4,4,0,1.0,4,4,1.0,True
observed,2022,agent,named_non_en,1,4,4,0,0.25,4,1,0.25,True
observed,2022,agent,multiple_named,1,4,4,0,0.25,4,1,0.25,True
observed,2022,agent,sentinel_present,0,4,4,0,0.0,4,0,0.0,True
observed,2022,non_agent,en_only,121,156,156,0,0.7756410256410257,154,121,0.7857142857142857,False
observed,2022,non_agent,en_any,143,156,156,0,0.9166666666666666,154,141,0.9155844155844156,False
observed,2022,non_agent,named_non_en,34,156,156,0,0.21794871794871795,154,33,0.21428571428571427,False
observed,2022,non_agent,multiple_named,23,156,156,0,0.14743589743589744,154,22,0.14285714285714285,False
observed,2022,non_agent,sentinel_present,2,156,156,0,0.01282051282051282,154,0,0.0,False
observed,2022,domain:cybersecurity,en_only,1,1,1,0,1.0,1,1,1.0,True
observed,2022,domain:cybersecurity,en_any,1,1,1,0,1.0,1,1,1.0,True
observed,2022,domain:cybersecurity,named_non_en,0,1,1,0,0.0,1,0,0.0,True
observed,2022,domain:cybersecurity,multiple_named,0,1,1,0,0.0,1,0,0.0,True
observed,2022,domain:cybersecurity,sentinel_present,0,1,1,0,0.0,1,0,0.0,True
observed,2022,domain:education,en_only,0,0,0,0,,0,0,,True
observed,2022,domain:education,en_any,0,0,0,0,,0,0,,True
observed,2022,domain:education,named_non_en,0,0,0,0,,0,0,,True
observed,2022,domain:education,multiple_named,0,0,0,0,,0,0,,True
observed,2022,domain:education,sentinel_present,0,0,0,0,,0,0,,True
observed,2022,domain:engineering,en_only,2,2,2,0,1.0,2,2,1.0,True
observed,2022,domain:engineering,en_any,2,2,2,0,1.0,2,2,1.0,True
observed,2022,domain:engineering,named_non_en,0,2,2,0,0.0,2,0,0.0,True
observed,2022,domain:engineering,multiple_named,0,2,2,0,0.0,2,0,0.0,True
observed,2022,domain:engineering,sentinel_present,0,2,2,0,0.0,2,0,0.0,True
observed,2022,domain:finance_and_business,en_only,4,5,5,0,0.8,5,4,0.8,True
observed,2022,domain:finance_and_business,en_any,5,5,5,0,1.0,5,5,1.0,True
observed,2022,domain:finance_and_business,named_non_en,1,5,5,0,0.2,5,1,0.2,True
observed,2022,domain:finance_and_business,multiple_named,1,5,5,0,0.2,5,1,0.2,True
observed,2022,domain:finance_and_business,sentinel_present,0,5,5,0,0.0,5,0,0.0,True
observed,2022,domain:general_or_cross_domain,en_only,42,53,53,0,0.7924528301886793,52,42,0.8076923076923077,False
observed,2022,domain:general_or_cross_domain,en_any,49,53,53,0,0.9245283018867925,52,48,0.9230769230769231,False
observed,2022,domain:general_or_cross_domain,named_non_en,11,53,53,0,0.20754716981132076,52,10,0.19230769230769232,False
observed,2022,domain:general_or_cross_domain,multiple_named,7,53,53,0,0.1320754716981132,52,6,0.11538461538461539,False
observed,2022,domain:general_or_cross_domain,sentinel_present,1,53,53,0,0.018867924528301886,52,0,0.0,False
observed,2022,domain:healthcare_biomedicine,en_only,8,9,9,0,0.8888888888888888,8,8,1.0,True
observed,2022,domain:healthcare_biomedicine,en_any,9,9,9,0,1.0,8,8,1.0,True
observed,2022,domain:healthcare_biomedicine,named_non_en,1,9,9,0,0.1111111111111111,8,0,0.0,True
observed,2022,domain:healthcare_biomedicine,multiple_named,1,9,9,0,0.1111111111111111,8,0,0.0,True
observed,2022,domain:healthcare_biomedicine,sentinel_present,1,9,9,0,0.1111111111111111,8,0,0.0,True
observed,2022,domain:language_and_communication,en_only,58,90,90,0,0.6444444444444445,88,58,0.6590909090909091,False
observed,2022,domain:language_and_communication,en_any,79,90,90,0,0.8777777777777778,88,77,0.875,False
observed,2022,domain:language_and_communication,named_non_en,31,90,90,0,0.34444444444444444,88,30,0.3409090909090909,False
observed,2022,domain:language_and_communication,multiple_named,22,90,90,0,0.24444444444444444,88,21,0.23863636363636365,False
observed,2022,domain:language_and_communication,sentinel_present,2,90,90,0,0.022222222222222223,88,0,0.0,False
observed,2022,domain:law_and_public_policy,en_only,3,4,4,0,0.75,3,3,1.0,True
observed,2022,domain:law_and_public_policy,en_any,4,4,4,0,1.0,3,3,1.0,True
observed,2022,domain:law_and_public_policy,named_non_en,1,4,4,0,0.25,3,0,0.0,True
observed,2022,domain:law_and_public_policy,multiple_named,1,4,4,0,0.25,3,0,0.0,True
observed,2022,domain:law_and_public_policy,sentinel_present,1,4,4,0,0.25,3,0,0.0,True
observed,2022,domain:mathematics_and_formal_reasoning,en_only,13,16,16,0,0.8125,15,13,0.8666666666666667,True
observed,2022,domain:mathematics_and_formal_reasoning,en_any,16,16,16,0,1.0,15,15,1.0,True
observed,2022,domain:mathematics_and_formal_reasoning,named_non_en,3,16,16,0,0.1875,15,2,0.13333333333333333,True
observed,2022,domain:mathematics_and_formal_reasoning,multiple_named,3,16,16,0,0.1875,15,2,0.13333333333333333,True
observed,2022,domain:mathematics_and_formal_reasoning,sentinel_present,1,16,16,0,0.0625,15,0,0.0,True
observed,2022,domain:natural_sciences,en_only,5,7,7,0,0.7142857142857143,6,5,0.8333333333333334,True
observed,2022,domain:natural_sciences,en_any,6,7,7,0,0.8571428571428571,6,5,0.8333333333333334,True
observed,2022,domain:natural_sciences,named_non_en,2,7,7,0,0.2857142857142857,6,1,0.16666666666666666,True
observed,2022,domain:natural_sciences,multiple_named,1,7,7,0,0.14285714285714285,6,0,0.0,True
observed,2022,domain:natural_sciences,sentinel_present,1,7,7,0,0.14285714285714285,6,0,0.0,True
observed,2022,domain:other,en_only,4,5,5,0,0.8,5,4,0.8,True
observed,2022,domain:other,en_any,4,5,5,0,0.8,5,4,0.8,True
observed,2022,domain:other,named_non_en,1,5,5,0,0.2,5,1,0.2,True
observed,2022,domain:other,multiple_named,0,5,5,0,0.0,5,0,0.0,True
observed,2022,domain:other,sentinel_present,0,5,5,0,0.0,5,0,0.0,True
observed,2022,domain:social_sciences_and_humanities,en_only,13,15,15,0,0.8666666666666667,14,13,0.9285714285714286,True
observed,2022,domain:social_sciences_and_humanities,en_any,14,15,15,0,0.9333333333333333,14,13,0.9285714285714286,True
observed,2022,domain:social_sciences_and_humanities,named_non_en,2,15,15,0,0.13333333333333333,14,1,0.07142857142857142,True
observed,2022,domain:social_sciences_and_humanities,multiple_named,1,15,15,0,0.06666666666666667,14,0,0.0,True
observed,2022,domain:social_sciences_and_humanities,sentinel_present,1,15,15,0,0.06666666666666667,14,0,0.0,True
observed,2022,domain:software_and_coding,en_only,23,28,28,0,0.8214285714285714,26,23,0.8846153846153846,False
observed,2022,domain:software_and_coding,en_any,27,28,28,0,0.9642857142857143,26,25,0.9615384615384616,False
observed,2022,domain:software_and_coding,named_non_en,4,28,28,0,0.14285714285714285,26,3,0.11538461538461539,False
observed,2022,domain:software_and_coding,multiple_named,4,28,28,0,0.14285714285714285,26,3,0.11538461538461539,False
observed,2022,domain:software_and_coding,sentinel_present,2,28,28,0,0.07142857142857142,26,0,0.0,False
observed,2023,all,en_only,672,859,861,2,0.7823050058207218,841,672,0.7990487514863258,False
observed,2023,all,en_any,772,859,861,2,0.8987194412107101,841,768,0.9131985731272295,False
observed,2023,all,named_non_en,172,859,861,2,0.20023282887077998,841,169,0.20095124851367419,False
observed,2023,all,multiple_named,103,859,861,2,0.119906868451688,841,100,0.11890606420927467,False
observed,2023,all,sentinel_present,18,859,861,2,0.020954598370197905,841,0,0.0,False
observed,2023,agent,en_only,57,64,64,0,0.890625,62,57,0.9193548387096774,False
observed,2023,agent,en_any,59,64,64,0,0.921875,62,58,0.9354838709677419,False
observed,2023,agent,named_non_en,6,64,64,0,0.09375,62,5,0.08064516129032258,False
observed,2023,agent,multiple_named,2,64,64,0,0.03125,62,1,0.016129032258064516,False
observed,2023,agent,sentinel_present,2,64,64,0,0.03125,62,0,0.0,False
observed,2023,non_agent,en_only,615,795,797,2,0.7735849056603774,779,615,0.7894736842105263,False
observed,2023,non_agent,en_any,713,795,797,2,0.8968553459119497,779,710,0.9114249037227214,False
observed,2023,non_agent,named_non_en,166,795,797,2,0.2088050314465409,779,164,0.21052631578947367,False
observed,2023,non_agent,multiple_named,101,795,797,2,0.1270440251572327,779,99,0.12708600770218229,False
observed,2023,non_agent,sentinel_present,16,795,797,2,0.02012578616352201,779,0,0.0,False
observed,2023,domain:cybersecurity,en_only,25,28,28,0,0.8928571428571429,28,25,0.8928571428571429,False
observed,2023,domain:cybersecurity,en_any,27,28,28,0,0.9642857142857143,28,27,0.9642857142857143,False
observed,2023,domain:cybersecurity,named_non_en,3,28,28,0,0.10714285714285714,28,3,0.10714285714285714,False
observed,2023,domain:cybersecurity,multiple_named,2,28,28,0,0.07142857142857142,28,2,0.07142857142857142,False
observed,2023,domain:cybersecurity,sentinel_present,0,28,28,0,0.0,28,0,0.0,False
observed,2023,domain:education,en_only,10,14,14,0,0.7142857142857143,14,10,0.7142857142857143,True
observed,2023,domain:education,en_any,11,14,14,0,0.7857142857142857,14,11,0.7857142857142857,True
observed,2023,domain:education,named_non_en,4,14,14,0,0.2857142857142857,14,4,0.2857142857142857,True
observed,2023,domain:education,multiple_named,1,14,14,0,0.07142857142857142,14,1,0.07142857142857142,True
observed,2023,domain:education,sentinel_present,0,14,14,0,0.0,14,0,0.0,True
observed,2023,domain:engineering,en_only,41,46,46,0,0.8913043478260869,46,41,0.8913043478260869,False
observed,2023,domain:engineering,en_any,43,46,46,0,0.9347826086956522,46,43,0.9347826086956522,False
observed,2023,domain:engineering,named_non_en,5,46,46,0,0.10869565217391304,46,5,0.10869565217391304,False
observed,2023,domain:engineering,multiple_named,2,46,46,0,0.043478260869565216,46,2,0.043478260869565216,False
observed,2023,domain:engineering,sentinel_present,0,46,46,0,0.0,46,0,0.0,False
observed,2023,domain:finance_and_business,en_only,31,47,47,0,0.6595744680851063,47,31,0.6595744680851063,False
observed,2023,domain:finance_and_business,en_any,38,47,47,0,0.8085106382978723,47,38,0.8085106382978723,False
observed,2023,domain:finance_and_business,named_non_en,16,47,47,0,0.3404255319148936,47,16,0.3404255319148936,False
observed,2023,domain:finance_and_business,multiple_named,8,47,47,0,0.1702127659574468,47,8,0.1702127659574468,False
observed,2023,domain:finance_and_business,sentinel_present,0,47,47,0,0.0,47,0,0.0,False
observed,2023,domain:general_or_cross_domain,en_only,331,418,420,2,0.7918660287081339,411,331,0.805352798053528,False
observed,2023,domain:general_or_cross_domain,en_any,388,418,420,2,0.9282296650717703,411,384,0.9343065693430657,False
observed,2023,domain:general_or_cross_domain,named_non_en,83,418,420,2,0.19856459330143542,411,80,0.19464720194647203,False
observed,2023,domain:general_or_cross_domain,multiple_named,59,418,420,2,0.14114832535885166,411,56,0.1362530413625304,False
observed,2023,domain:general_or_cross_domain,sentinel_present,7,418,420,2,0.01674641148325359,411,0,0.0,False
observed,2023,domain:healthcare_biomedicine,en_only,35,64,64,0,0.546875,63,35,0.5555555555555556,False
observed,2023,domain:healthcare_biomedicine,en_any,43,64,64,0,0.671875,63,42,0.6666666666666666,False
observed,2023,domain:healthcare_biomedicine,named_non_en,29,64,64,0,0.453125,63,28,0.4444444444444444,False
observed,2023,domain:healthcare_biomedicine,multiple_named,8,64,64,0,0.125,63,7,0.1111111111111111,False
observed,2023,domain:healthcare_biomedicine,sentinel_present,1,64,64,0,0.015625,63,0,0.0,False
observed,2023,domain:language_and_communication,en_only,155,235,237,2,0.6595744680851063,228,155,0.6798245614035088,False
observed,2023,domain:language_and_communication,en_any,201,235,237,2,0.8553191489361702,228,198,0.868421052631579,False
observed,2023,domain:language_and_communication,named_non_en,75,235,237,2,0.3191489361702128,228,73,0.3201754385964912,False
observed,2023,domain:language_and_communication,multiple_named,49,235,237,2,0.20851063829787234,228,47,0.20614035087719298,False
observed,2023,domain:language_and_communication,sentinel_present,7,235,237,2,0.029787234042553193,228,0,0.0,False
observed,2023,domain:law_and_public_policy,en_only,9,22,22,0,0.4090909090909091,22,9,0.4090909090909091,False
observed,2023,domain:law_and_public_policy,en_any,12,22,22,0,0.5454545454545454,22,12,0.5454545454545454,False
observed,2023,domain:law_and_public_policy,named_non_en,13,22,22,0,0.5909090909090909,22,13,0.5909090909090909,False
observed,2023,domain:law_and_public_policy,multiple_named,3,22,22,0,0.13636363636363635,22,3,0.13636363636363635,False
observed,2023,domain:law_and_public_policy,sentinel_present,0,22,22,0,0.0,22,0,0.0,False
observed,2023,domain:mathematics_and_formal_reasoning,en_only,69,105,106,1,0.6571428571428571,100,69,0.69,False
observed,2023,domain:mathematics_and_formal_reasoning,en_any,87,105,106,1,0.8285714285714286,100,85,0.85,False
observed,2023,domain:mathematics_and_formal_reasoning,named_non_en,33,105,106,1,0.3142857142857143,100,31,0.31,False
observed,2023,domain:mathematics_and_formal_reasoning,multiple_named,18,105,106,1,0.17142857142857143,100,16,0.16,False
observed,2023,domain:mathematics_and_formal_reasoning,sentinel_present,5,105,106,1,0.047619047619047616,100,0,0.0,False
observed,2023,domain:natural_sciences,en_only,39,63,63,0,0.6190476190476191,61,39,0.639344262295082,False
observed,2023,domain:natural_sciences,en_any,50,63,63,0,0.7936507936507936,61,48,0.7868852459016393,False
observed,2023,domain:natural_sciences,named_non_en,24,63,63,0,0.38095238095238093,61,22,0.36065573770491804,False
observed,2023,domain:natural_sciences,multiple_named,12,63,63,0,0.19047619047619047,61,10,0.16393442622950818,False
observed,2023,domain:natural_sciences,sentinel_present,2,63,63,0,0.031746031746031744,61,0,0.0,False
observed,2023,domain:other,en_only,11,15,15,0,0.7333333333333333,15,11,0.7333333333333333,True
observed,2023,domain:other,en_any,13,15,15,0,0.8666666666666667,15,13,0.8666666666666667,True
observed,2023,domain:other,named_non_en,4,15,15,0,0.26666666666666666,15,4,0.26666666666666666,True
observed,2023,domain:other,multiple_named,2,15,15,0,0.13333333333333333,15,2,0.13333333333333333,True
observed,2023,domain:other,sentinel_present,0,15,15,0,0.0,15,0,0.0,True
observed,2023,domain:social_sciences_and_humanities,en_only,67,109,109,0,0.6146788990825688,108,67,0.6203703703703703,False
observed,2023,domain:social_sciences_and_humanities,en_any,90,109,109,0,0.8256880733944955,108,89,0.8240740740740741,False
observed,2023,domain:social_sciences_and_humanities,named_non_en,42,109,109,0,0.3853211009174312,108,41,0.37962962962962965,False
observed,2023,domain:social_sciences_and_humanities,multiple_named,24,109,109,0,0.22018348623853212,108,23,0.21296296296296297,False
observed,2023,domain:social_sciences_and_humanities,sentinel_present,1,109,109,0,0.009174311926605505,108,0,0.0,False
observed,2023,domain:software_and_coding,en_only,109,132,132,0,0.8257575757575758,124,109,0.8790322580645161,False
observed,2023,domain:software_and_coding,en_any,119,132,132,0,0.9015151515151515,124,118,0.9516129032258065,False
observed,2023,domain:software_and_coding,named_non_en,16,132,132,0,0.12121212121212122,124,15,0.12096774193548387,False
observed,2023,domain:software_and_coding,multiple_named,10,132,132,0,0.07575757575757576,124,9,0.07258064516129033,False
observed,2023,domain:software_and_coding,sentinel_present,8,132,132,0,0.06060606060606061,124,0,0.0,False
observed,2024,all,en_only,2159,2726,2735,9,0.7920029347028613,2684,2159,0.8043964232488823,False
observed,2024,all,en_any,2516,2726,2735,9,0.9229640498899486,2684,2495,0.9295827123695977,False
observed,2024,all,named_non_en,537,2726,2735,9,0.19699192956713132,2684,525,0.19560357675111772,False
observed,2024,all,multiple_named,358,2726,2735,9,0.13132795304475423,2684,346,0.12891207153502235,False
observed,2024,all,sentinel_present,42,2726,2735,9,0.015407190022010272,2684,0,0.0,False
observed,2024,agent,en_only,227,259,259,0,0.8764478764478765,253,227,0.8972332015810277,False
observed,2024,agent,en_any,251,259,259,0,0.9691119691119691,253,248,0.9802371541501976,False
observed,2024,agent,named_non_en,28,259,259,0,0.10810810810810811,253,26,0.10276679841897234,False
observed,2024,agent,multiple_named,23,259,259,0,0.0888030888030888,253,21,0.08300395256916997,False
observed,2024,agent,sentinel_present,6,259,259,0,0.023166023166023165,253,0,0.0,False
observed,2024,non_agent,en_only,1932,2467,2476,9,0.7831374138629915,2431,1932,0.7947346770876182,False
observed,2024,non_agent,en_any,2265,2467,2476,9,0.9181191730847182,2431,2247,0.9243109831345125,False
observed,2024,non_agent,named_non_en,509,2467,2476,9,0.2063234698013782,2431,499,0.20526532291238173,False
observed,2024,non_agent,multiple_named,335,2467,2476,9,0.13579246047831375,2431,325,0.13368983957219252,False
observed,2024,non_agent,sentinel_present,36,2467,2476,9,0.014592622618565058,2431,0,0.0,False
observed,2024,domain:cybersecurity,en_only,77,88,88,0,0.875,86,77,0.8953488372093024,False
observed,2024,domain:cybersecurity,en_any,87,88,88,0,0.9886363636363636,86,85,0.9883720930232558,False
observed,2024,domain:cybersecurity,named_non_en,9,88,88,0,0.10227272727272728,86,9,0.10465116279069768,False
observed,2024,domain:cybersecurity,multiple_named,8,88,88,0,0.09090909090909091,86,8,0.09302325581395349,False
observed,2024,domain:cybersecurity,sentinel_present,2,88,88,0,0.022727272727272728,86,0,0.0,False
observed,2024,domain:education,en_only,33,49,49,0,0.673469387755102,47,33,0.7021276595744681,False
observed,2024,domain:education,en_any,37,49,49,0,0.7551020408163265,47,36,0.7659574468085106,False
observed,2024,domain:education,named_non_en,15,49,49,0,0.30612244897959184,47,14,0.2978723404255319,False
observed,2024,domain:education,multiple_named,4,49,49,0,0.08163265306122448,47,3,0.06382978723404255,False
observed,2024,domain:education,sentinel_present,2,49,49,0,0.04081632653061224,47,0,0.0,False
observed,2024,domain:engineering,en_only,105,120,120,0,0.875,119,105,0.8823529411764706,False
observed,2024,domain:engineering,en_any,112,120,120,0,0.9333333333333333,119,112,0.9411764705882353,False
observed,2024,domain:engineering,named_non_en,14,120,120,0,0.11666666666666667,119,14,0.11764705882352941,False
observed,2024,domain:engineering,multiple_named,7,120,120,0,0.058333333333333334,119,7,0.058823529411764705,False
observed,2024,domain:engineering,sentinel_present,1,120,120,0,0.008333333333333333,119,0,0.0,False
observed,2024,domain:finance_and_business,en_only,115,172,172,0,0.6686046511627907,168,115,0.6845238095238095,False
observed,2024,domain:finance_and_business,en_any,144,172,172,0,0.8372093023255814,168,143,0.8511904761904762,False
observed,2024,domain:finance_and_business,named_non_en,54,172,172,0,0.313953488372093,168,53,0.31547619047619047,False
observed,2024,domain:finance_and_business,multiple_named,30,172,172,0,0.1744186046511628,168,29,0.17261904761904762,False
observed,2024,domain:finance_and_business,sentinel_present,4,172,172,0,0.023255813953488372,168,0,0.0,False
observed,2024,domain:general_or_cross_domain,en_only,1044,1271,1275,4,0.8214004720692368,1250,1044,0.8352,False
observed,2024,domain:general_or_cross_domain,en_any,1197,1271,1275,4,0.9417781274586939,1250,1183,0.9464,False
