cohort,domain,year,valid_n,exposure_n,outcome_n,both_n,neither_n,exposure_only_n,outcome_only_n,exposure_share,outcome_share,p_exposed,p_unexposed,risk_difference,joint_share,independence_product,excess_joint_share,lift,agent_language,agent_n,interactive_n
primary,engineering,2025,210,87,55,29,97,58,26,0.4142857142857143,0.2619047619047619,0.3333333333333333,0.21138211382113822,0.12195121951219509,0.1380952380952381,0.10850340136054422,0.029591836734693885,1.2727272727272727,"{""both_n"": 19, ""excess_joint_share"": 0.012063492063492068, ""exposure_n"": 19, ""exposure_only_n"": 0, ""exposure_share"": 0.09047619047619047, ""independence_product"": 0.0784126984126984, ""joint_share"": 0.09047619047619047, ""lift"": 1.153846153846154, ""neither_n"": 28, ""outcome_n"": 182, ""outcome_only_n"": 163, ""outcome_share"": 0.8666666666666667, ""p_exposed"": 1.0, ""p_unexposed"": 0.8534031413612565, ""risk_difference"": 0.1465968586387435, ""valid_n"": 210}","{""n"": 19, ""share"": 0.09047619047619047, ""valid_n"": 210}","{""n"": 52, ""share"": 0.24761904761904763, ""valid_n"": 210}"
primary,engineering,2026,509,215,155,81,220,134,74,0.4223968565815324,0.3045186640471513,0.3767441860465116,0.25170068027210885,0.12504350577440276,0.15913555992141454,0.1286277264639244,0.03050783345749014,1.2371792948237061,"{""both_n"": 133, ""excess_joint_share"": -0.0003358023166500357, ""exposure_n"": 148, ""exposure_only_n"": 15, ""exposure_share"": 0.2907662082514735, ""independence_product"": 0.2616324624345282, ""joint_share"": 0.26129666011787817, ""lift"": 0.9987165112710963, ""neither_n"": 36, ""outcome_n"": 458, ""outcome_only_n"": 325, ""outcome_share"": 0.899803536345776, ""p_exposed"": 0.8986486486486487, ""p_unexposed"": 0.9002770083102493, ""risk_difference"": -0.0016283596616005758, ""valid_n"": 509}","{""n"": 148, ""share"": 0.2907662082514735, ""valid_n"": 509}","{""n"": 194, ""share"": 0.381139489194499, ""valid_n"": 509}"
primary,finance_and_business,all,1026,527,454,285,330,242,169,0.51364522417154,0.442495126705653,0.540796963946869,0.33867735470941884,0.2021196092374502,0.2777777777777778,0.22728550855153912,0.05049226922623867,1.2221534912103253,"{""both_n"": 369, ""excess_joint_share"": 0.0435426531826294, ""exposure_n"": 423, ""exposure_only_n"": 54, ""exposure_share"": 0.41268292682926827, ""independence_product"": 0.3164573468173706, ""joint_share"": 0.36, ""lift"": 1.1375940663743165, ""neither_n"": 185, ""outcome_n"": 786, ""outcome_only_n"": 417, ""outcome_share"": 0.7668292682926829, ""p_exposed"": 0.8723404255319149, ""p_unexposed"": 0.6926910299003323, ""risk_difference"": 0.17964939563158266, ""valid_n"": 1025}","{""n"": 423, ""share"": 0.41228070175438597, ""valid_n"": 1026}","{""n"": 366, ""share"": 0.3567251461988304, ""valid_n"": 1026}"
primary,finance_and_business,2024,102,47,29,19,45,28,10,0.46078431372549017,0.28431372549019607,0.40425531914893614,0.18181818181818182,0.22243713733075432,0.18627450980392157,0.1310073048827374,0.05526720492118417,1.421863536316948,"{""both_n"": 23, ""excess_joint_share"": 0.05940023068050751, ""exposure_n"": 24, ""exposure_only_n"": 1, ""exposure_share"": 0.23529411764705882, ""independence_product"": 0.16608996539792387, ""joint_share"": 0.22549019607843138, ""lift"": 1.357638888888889, ""neither_n"": 29, ""outcome_n"": 72, ""outcome_only_n"": 49, ""outcome_share"": 0.7058823529411765, ""p_exposed"": 0.9583333333333334, ""p_unexposed"": 0.6282051282051282, ""risk_difference"": 0.3301282051282052, ""valid_n"": 102}","{""n"": 24, ""share"": 0.23529411764705882, ""valid_n"": 102}","{""n"": 20, ""share"": 0.19607843137254902, ""valid_n"": 102}"
primary,finance_and_business,2025,257,133,101,67,90,66,34,0.5175097276264592,0.39299610894941633,0.5037593984962406,0.27419354838709675,0.22956585010914388,0.2607003891050584,0.20337930930067072,0.057321079804387665,1.2818432219161766,"{""both_n"": 58, ""excess_joint_share"": 0.03111326439461612, ""exposure_n"": 71, ""exposure_only_n"": 13, ""exposure_share"": 0.27626459143968873, ""independence_product"": 0.19456766945752396, ""joint_share"": 0.22568093385214008, ""lift"": 1.159909734651, ""neither_n"": 63, ""outcome_n"": 181, ""outcome_only_n"": 123, ""outcome_share"": 0.7042801556420234, ""p_exposed"": 0.8169014084507042, ""p_unexposed"": 0.6612903225806451, ""risk_difference"": 0.15561108587005912, ""valid_n"": 257}","{""n"": 71, ""share"": 0.27626459143968873, ""valid_n"": 257}","{""n"": 61, ""share"": 0.23735408560311283, ""valid_n"": 257}"
primary,finance_and_business,2026,667,347,324,199,195,148,125,0.52023988005997,0.48575712143928035,0.5734870317002881,0.390625,0.18286203170028814,0.2983508245877061,0.2527102265958475,0.0456405979918586,1.180604475753371,"{""both_n"": 288, ""excess_joint_share"": 0.038290542795047344, ""exposure_n"": 328, ""exposure_only_n"": 40, ""exposure_share"": 0.4924924924924925, ""independence_product"": 0.3941418896373851, ""joint_share"": 0.43243243243243246, ""lift"": 1.0971491328421727, ""neither_n"": 93, ""outcome_n"": 533, ""outcome_only_n"": 245, ""outcome_share"": 0.8003003003003003, ""p_exposed"": 0.8780487804878049, ""p_unexposed"": 0.7248520710059172, ""risk_difference"": 0.15319670948188768, ""valid_n"": 666}","{""n"": 328, ""share"": 0.4917541229385307, ""valid_n"": 667}","{""n"": 285, ""share"": 0.4272863568215892, ""valid_n"": 667}"
primary,general_or_cross_domain,all,4437,2580,1877,1293,1273,1287,584,0.581473968897904,0.4230335812485914,0.5011627906976744,0.31448572967151317,0.18667706102616127,0.2914131169709263,0.24598301546571236,0.045430101505213955,1.1846879607488447,"{""both_n"": 889, ""excess_joint_share"": 0.009803487427694768, ""exposure_n"": 1024, ""exposure_only_n"": 135, ""exposure_share"": 0.23089064261555806, ""independence_product"": 0.19064747085866374, ""joint_share"": 0.2004509582863585, ""lift"": 1.0514220691391316, ""neither_n"": 638, ""outcome_n"": 3662, ""outcome_only_n"": 2773, ""outcome_share"": 0.8257046223224351, ""p_exposed"": 0.8681640625, ""p_unexposed"": 0.8129580768103195, ""risk_difference"": 0.05520598568968049, ""valid_n"": 4435}","{""n"": 1024, ""share"": 0.23057869849133078, ""valid_n"": 4441}","{""n"": 1048, ""share"": 0.23603603603603604, ""valid_n"": 4440}"
primary,general_or_cross_domain,2024,790,449,261,181,261,268,80,0.5683544303797469,0.330379746835443,0.40311804008908686,0.23460410557184752,0.16851393451723934,0.2291139240506329,0.1877727928216632,0.04134113122896971,1.2201657152121785,"{""both_n"": 90, ""excess_joint_share"": 0.012057424568809733, ""exposure_n"": 98, ""exposure_only_n"": 8, ""exposure_share"": 0.12420785804816223, ""independence_product"": 0.10201101649582905, ""joint_share"": 0.11406844106463879, ""lift"": 1.1181972789115646, ""neither_n"": 133, ""outcome_n"": 648, ""outcome_only_n"": 558, ""outcome_share"": 0.8212927756653993, ""p_exposed"": 0.9183673469387755, ""p_unexposed"": 0.8075253256150506, ""risk_difference"": 0.11084202132372489, ""valid_n"": 789}","{""n"": 98, ""share"": 0.12373737373737374, ""valid_n"": 792}","{""n"": 93, ""share"": 0.11742424242424243, ""valid_n"": 792}"
primary,general_or_cross_domain,2025,1410,835,591,410,394,425,181,0.5921985815602837,0.41914893617021276,0.49101796407185627,0.31478260869565217,0.1762353553762041,0.2907801418439716,0.24821940546250187,0.04256073638146973,1.1714641782424997,"{""both_n"": 184, ""excess_joint_share"": 0.007039809477852252, ""exposure_n"": 219, ""exposure_only_n"": 35, ""exposure_share"": 0.1554293825408091, ""independence_product"": 0.12354926078474533, ""joint_share"": 0.13058907026259758, ""lift"": 1.0569797782126549, ""neither_n"": 254, ""outcome_n"": 1120, ""outcome_only_n"": 936, ""outcome_share"": 0.794889992902768, ""p_exposed"": 0.8401826484018264, ""p_unexposed"": 0.7865546218487395, ""risk_difference"": 0.05362802655308696, ""valid_n"": 1409}","{""n"": 219, ""share"": 0.15509915014164305, ""valid_n"": 1412}","{""n"": 250, ""share"": 0.17705382436260622, ""valid_n"": 1412}"
primary,general_or_cross_domain,2026,2237,1296,1025,702,618,594,323,0.5793473401877515,0.45820295037997316,0.5416666666666666,0.3432518597236982,0.19841480694296842,0.3138131426016987,0.26545866056881773,0.04835448203288095,1.1821544715447154,"{""both_n"": 615, ""excess_joint_share"": 0.007333285506544662, ""exposure_n"": 707, ""exposure_only_n"": 92, ""exposure_share"": 0.31604827894501564, ""independence_product"": 0.26758848472143926, ""joint_share"": 0.2749217702279839, ""lift"": 1.0274050862621336, ""neither_n"": 251, ""outcome_n"": 1894, ""outcome_only_n"": 1279, ""outcome_share"": 0.8466696468484578, ""p_exposed"": 0.8698727015558698, ""p_unexposed"": 0.8359477124183007, ""risk_difference"": 0.03392498913756914, ""valid_n"": 2237}","{""n"": 707, ""share"": 0.31604827894501564, ""valid_n"": 2237}","{""n"": 705, ""share"": 0.3152951699463327, ""valid_n"": 2236}"
primary,healthcare_biomedicine,all,1262,692,584,379,365,313,205,0.5483359746434231,0.46275752773375595,0.5476878612716763,0.35964912280701755,0.1880387384646588,0.30031695721077656,0.25374659999347,0.04657035721730657,1.1835309604877662,"{""both_n"": 227, ""excess_joint_share"": 0.02535279960932041, ""exposure_n"": 247, ""exposure_only_n"": 20, ""exposure_share"": 0.1955661124307205, ""independence_product"": 0.15437800007397334, ""joint_share"": 0.17973079968329375, ""lift"": 1.1642254699320636, ""neither_n"": 246, ""outcome_n"": 997, ""outcome_only_n"": 770, ""outcome_share"": 0.7893903404592241, ""p_exposed"": 0.9190283400809717, ""p_unexposed"": 0.7578740157480315, ""risk_difference"": 0.1611543243329402, ""valid_n"": 1263}","{""n"": 247, ""share"": 0.1955661124307205, ""valid_n"": 1263}","{""n"": 265, ""share"": 0.20981789390340458, ""valid_n"": 1263}"
primary,healthcare_biomedicine,2024,173,77,49,31,78,46,18,0.44508670520231214,0.2832369942196532,0.4025974025974026,0.1875,0.21509740259740262,0.1791907514450867,0.12606502054863175,0.05312573089645495,1.4214153193745032,"{""both_n"": 9, ""excess_joint_share"": 0.005581979125379839, ""exposure_n"": 11, ""exposure_only_n"": 2, ""exposure_share"": 0.06321839080459771, ""independence_product"": 0.04614215880565464, ""joint_share"": 0.05172413793103448, ""lift"": 1.120973514674302, ""neither_n"": 45, ""outcome_n"": 127, ""outcome_only_n"": 118, ""outcome_share"": 0.7298850574712644, ""p_exposed"": 0.8181818181818182, ""p_unexposed"": 0.7239263803680982, ""risk_difference"": 0.09425543781372003, ""valid_n"": 174}","{""n"": 11, ""share"": 0.06321839080459771, ""valid_n"": 174}","{""n"": 12, ""share"": 0.06896551724137931, ""valid_n"": 174}"
primary,healthcare_biomedicine,2025,353,196,142,92,107,104,50,0.5552407932011332,0.40226628895184136,0.46938775510204084,0.3184713375796178,0.15091641752242302,0.26062322946175637,0.22335465335569663,0.03726857610605974,1.1668582926128197,"{""both_n"": 33, ""excess_joint_share"": 0.02409938286961616, ""exposure_n"": 33, ""exposure_only_n"": 0, ""exposure_share"": 0.09348441926345609, ""independence_product"": 0.06938503639383993, ""joint_share"": 0.09348441926345609, ""lift"": 1.3473282442748091, ""neither_n"": 91, ""outcome_n"": 262, ""outcome_only_n"": 229, ""outcome_share"": 0.7422096317280453, ""p_exposed"": 1.0, ""p_unexposed"": 0.715625, ""risk_difference"": 0.28437500000000004, ""valid_n"": 353}","{""n"": 33, ""share"": 0.09348441926345609, ""valid_n"": 353}","{""n"": 44, ""share"": 0.12464589235127478, ""valid_n"": 353}"
primary,healthcare_biomedicine,2026,736,419,393,256,180,163,137,0.5692934782608695,0.5339673913043478,0.6109785202863962,0.43217665615141954,0.17880186413497667,0.34782608695652173,0.30398415347353497,0.04384193348298676,1.1442244044040397,"{""both_n"": 185, ""excess_joint_share"": 0.02351134215500944, ""exposure_n"": 203, ""exposure_only_n"": 18, ""exposure_share"": 0.2758152173913043, ""independence_product"": 0.22784735349716445, ""joint_share"": 0.2513586956521739, ""lift"": 1.1031890070002592, ""neither_n"": 110, ""outcome_n"": 608, ""outcome_only_n"": 423, ""outcome_share"": 0.8260869565217391, ""p_exposed"": 0.9113300492610837, ""p_unexposed"": 0.7936210131332082, ""risk_difference"": 0.11770903612787553, ""valid_n"": 736}","{""n"": 203, ""share"": 0.2758152173913043, ""valid_n"": 736}","{""n"": 209, ""share"": 0.28396739130434784, ""valid_n"": 736}"
primary,language_and_communication,all,1496,788,567,356,497,432,211,0.5267379679144385,0.3790106951871658,0.4517766497461929,0.2980225988700565,0.15375405087613642,0.23796791443850268,0.19963932340072635,0.03832859103777633,1.1919891852209958,"{""both_n"": 54, ""excess_joint_share"": 0.011845049824847804, ""exposure_n"": 67, ""exposure_only_n"": 13, ""exposure_share"": 0.04511784511784512, ""independence_product"": 0.024518586538788557, ""joint_share"": 0.03636363636363636, ""lift"": 1.4831049214892082, ""neither_n"": 665, ""outcome_n"": 807, ""outcome_only_n"": 753, ""outcome_share"": 0.5434343434343434, ""p_exposed"": 0.8059701492537313, ""p_unexposed"": 0.5310296191819464, ""risk_difference"": 0.274940530071785, ""valid_n"": 1485}","{""n"": 67, ""share"": 0.04472630173564753, ""valid_n"": 1498}","{""n"": 139, ""share"": 0.09279038718291055, ""valid_n"": 1498}"
primary,language_and_communication,2024,333,159,73,48,149,111,25,0.4774774774774775,0.21921921921921922,0.3018867924528302,0.14367816091954022,0.15820863153328996,0.14414414414414414,0.10467223980737494,0.0394719043367692,1.3771000258464718,"{""both_n"": 6, ""excess_joint_share"": 0.004164187983343247, ""exposure_n"": 8, ""exposure_only_n"": 2, ""exposure_share"": 0.024390243902439025, ""independence_product"": 0.01412849494348602, ""joint_share"": 0.018292682926829267, ""lift"": 1.294736842105263, ""neither_n"": 136, ""outcome_n"": 190, ""outcome_only_n"": 184, ""outcome_share"": 0.5792682926829268, ""p_exposed"": 0.75, ""p_unexposed"": 0.575, ""risk_difference"": 0.17500000000000004, ""valid_n"": 328}","{""n"": 8, ""share"": 0.023952095808383235, ""valid_n"": 334}","{""n"": 14, ""share"": 0.041916167664670656, ""valid_n"": 334}"
primary,language_and_communication,2025,516,272,199,123,168,149,76,0.5271317829457365,0.3856589147286822,0.4522058823529412,0.3114754098360656,0.1407304725168756,0.23837209302325582,0.20329307132984797,0.03507902169340785,1.1725539462015961,"{""both_n"": 15, ""excess_joint_share"": 0.010530681496842303, ""exposure_n"": 18, ""exposure_only_n"": 3, ""exposure_share"": 0.03495145631067961, ""independence_product"": 0.018595532095390707, ""joint_share"": 0.02912621359223301, ""lift"": 1.566301703163017, ""neither_n"": 238, ""outcome_n"": 274, ""outcome_only_n"": 259, ""outcome_share"": 0.5320388349514563, ""p_exposed"": 0.8333333333333334, ""p_unexposed"": 0.5211267605633803, ""risk_difference"": 0.3122065727699531, ""valid_n"": 515}","{""n"": 18, ""share"": 0.03481624758220503, ""valid_n"": 517}","{""n"": 43, ""share"": 0.08317214700193423, ""valid_n"": 517}"
primary,language_and_communication,2026,647,357,295,185,180,172,110,0.5517774343122102,0.4559505409582689,0.5182072829131653,0.3793103448275862,0.13889693808557912,0.28593508500772796,0.25158321966321795,0.03435186534451001,1.136542752694298,"{""both_n"": 33, ""excess_joint_share"": 0.017281955726361348, ""exposure_n"": 41, ""exposure_only_n"": 8, ""exposure_share"": 0.06386292834890965, ""independence_product"": 0.034119913432517156, ""joint_share"": 0.0514018691588785, ""lift"": 1.5065064353267439, ""neither_n"": 291, ""outcome_n"": 343, ""outcome_only_n"": 310, ""outcome_share"": 0.5342679127725857, ""p_exposed"": 0.8048780487804879, ""p_unexposed"": 0.5158069883527454, ""risk_difference"": 0.28907106042774244, ""valid_n"": 642}","{""n"": 41, ""share"": 0.0633693972179289, ""valid_n"": 647}","{""n"": 82, ""share"": 0.1267387944358578, ""valid_n"": 647}"
primary,law_and_public_policy,all,371,188,187,107,103,81,80,0.5067385444743935,0.5040431266846361,0.5691489361702128,0.4371584699453552,0.1319904662248576,0.2884097035040431,0.25541808036849484,0.032991623135548265,1.129167140744112,"{""both_n"": 52, ""excess_joint_share"": 0.03954214360041622, ""exposure_n"": 68, ""exposure_only_n"": 16, ""exposure_share"": 0.1827956989247312, ""independence_product"": 0.10024280263614291, ""joint_share"": 0.13978494623655913, ""lift"": 1.394463667820069, ""neither_n"": 152, ""outcome_n"": 204, ""outcome_only_n"": 152, ""outcome_share"": 0.5483870967741935, ""p_exposed"": 0.7647058823529411, ""p_unexposed"": 0.5, ""risk_difference"": 0.2647058823529411, ""valid_n"": 372}","{""n"": 68, ""share"": 0.1827956989247312, ""valid_n"": 372}","{""n"": 67, ""share"": 0.18010752688172044, ""valid_n"": 372}"
primary,law_and_public_policy,2024,45,24,15,12,18,12,3,0.5333333333333333,0.3333333333333333,0.5,0.14285714285714285,0.35714285714285715,0.26666666666666666,0.17777777777777778,0.08888888888888888,1.5,"{""both_n"": 1, ""excess_joint_share"": 0.011814744801512287, ""exposure_n"": 1, ""exposure_only_n"": 0, ""exposure_share"": 0.021739130434782608, ""independence_product"": 0.00992438563327032, ""joint_share"": 0.021739130434782608, ""lift"": 2.1904761904761907, ""neither_n"": 25, ""outcome_n"": 21, ""outcome_only_n"": 20, ""outcome_share"": 0.45652173913043476, ""p_exposed"": 1.0, ""p_unexposed"": 0.4444444444444444, ""risk_difference"": 0.5555555555555556, ""valid_n"": 46}","{""n"": 1, ""share"": 0.021739130434782608, ""valid_n"": 46}","{""n"": 2, ""share"": 0.043478260869565216, ""valid_n"": 46}"
primary,law_and_public_policy,2025,107,49,54,27,31,22,27,0.45794392523364486,0.5046728971962616,0.5510204081632653,0.46551724137931033,0.08550316678395492,0.2523364485981308,0.2311118875010918,0.02122456109703902,1.0918367346938775,"{""both_n"": 7, ""excess_joint_share"": 0.02611581797536902, ""exposure_n"": 9, ""exposure_only_n"": 2, ""exposure_share"": 0.08411214953271028, ""independence_product"": 0.039304742772294524, ""joint_share"": 0.06542056074766354, ""lift"": 1.6644444444444442, ""neither_n"": 55, ""outcome_n"": 50, ""outcome_only_n"": 43, ""outcome_share"": 0.4672897196261682, ""p_exposed"": 0.7777777777777778, ""p_unexposed"": 0.4387755102040816, ""risk_difference"": 0.33900226757369617, ""valid_n"": 107}","{""n"": 9, ""share"": 0.08411214953271028, ""valid_n"": 107}","{""n"": 13, ""share"": 0.12149532710280374, ""valid_n"": 107}"
