measure,mode,budget_pct_each_year,k2024,n2024,k2026,n2026,observed_delta_pp,lower_delta_pp,upper_delta_pp,sign_preserved
llm_judge,label_flips,10,433,1681,2309,5734,14.51009632472906,-5.47697890226369,34.49717155172182,False
llm_judge,ineligible_removal,0,433,1681,2309,5734,14.51009632472906,14.51009632472906,14.51009632472906,True
llm_judge,ineligible_removal,1,433,1681,2309,5734,14.51009632472906,13.662833169614924,15.627845566193288,True
llm_judge,ineligible_removal,3,433,1681,2309,5734,14.51009632472906,11.873301158271365,18.03131788339505,True
llm_judge,ineligible_removal,5,433,1681,2309,5734,14.51009632472906,10.019555296871802,20.529050431379687,True
llm_judge,ineligible_removal,10,433,1681,2309,5734,14.51009632472906,5.018253608556628,27.224520473790864,True
execution_score,label_flips,0,284,1681,1631,5734,11.549661401656252,11.549661401656252,11.549661401656252,True
execution_score,label_flips,1,284,1681,1631,5734,11.549661401656252,9.603776548539896,13.495546254772615,True
execution_score,label_flips,3,284,1681,1631,5734,11.549661401656252,5.575590210205486,17.523732593107024,True
execution_score,label_flips,5,284,1681,1631,5734,11.549661401656252,1.5648437044486845,21.53447909886383,True
execution_score,label_flips,10,284,1681,1631,5734,11.549661401656252,-8.437413825336495,31.53673662864901,False
execution_score,ineligible_removal,0,284,1681,1631,5734,11.549661401656252,11.549661401656252,11.549661401656252,True
execution_score,ineligible_removal,1,284,1681,1631,5734,11.549661401656252,10.66885451595686,12.633866912535224,True
execution_score,ineligible_removal,3,284,1681,1631,5734,11.549661401656252,8.818941089035675,14.976957814159366,True
execution_score,ineligible_removal,5,284,1681,1631,5734,11.549661401656252,6.904615114426188,17.41411024893408,True
execution_score,ineligible_removal,10,284,1681,1631,5734,11.549661401656252,1.7292487904030844,23.935515655637317,True
english_only,label_flips,0,1332,1677,4723,5728,3.0270597435564373,3.0270597435564373,3.0270597435564373,True
english_only,label_flips,1,1332,1677,4723,5728,3.0270597435564373,1.0778633366979484,4.976256150414915,True
english_only,label_flips,3,1332,1677,4723,5728,3.0270597435564373,-2.939790061395886,8.99390954850875,False
english_only,label_flips,5,1332,1677,4723,5728,3.0270597435564373,-6.915271267859935,12.96939075497281,False
english_only,label_flips,10,1332,1677,4723,5728,3.0270597435564373,-16.917232571464737,22.971352058577608,False
english_only,ineligible_removal,0,1332,1677,4723,5728,3.0270597435564373,3.0270597435564373,3.0270597435564373,True
english_only,ineligible_removal,1,1332,1677,4723,5728,3.0270597435564373,2.085602775764528,4.0539916477794975,True
english_only,ineligible_removal,3,1332,1677,4723,5728,3.0270597435564373,0.046232601527285144,6.196573279392348,True
english_only,ineligible_removal,5,1332,1677,4723,5728,3.0270597435564373,-2.0308378027304674,8.431609347253598,False
english_only,ineligible_removal,10,1332,1677,4723,5728,3.0270597435564373,-7.703774680305586,14.449699186699473,False
domain:cybersecurity,label_flips,0,51,1683,388,5734,3.7363520098085843,3.7363520098085843,3.7363520098085843,True
domain:cybersecurity,label_flips,1,51,1683,388,5734,3.7363520098085843,1.7915982492604912,5.6811057703566785,True
domain:cybersecurity,label_flips,3,51,1683,388,5734,3.7363520098085843,-2.234184517366364,9.706888536983532,False
domain:cybersecurity,label_flips,5,51,1683,388,5734,3.7363520098085843,-6.242527451415611,11.75444715730729,False
domain:cybersecurity,label_flips,10,51,1683,388,5734,3.7363520098085843,-13.01247771836007,16.759679107080572,False
domain:cybersecurity,ineligible_removal,0,51,1683,388,5734,3.7363520098085843,3.7363520098085843,3.7363520098085843,True
domain:cybersecurity,ineligible_removal,1,51,1683,388,5734,3.7363520098085843,2.771156179192204,4.73501565320193,True
domain:cybersecurity,ineligible_removal,3,51,1683,388,5734,3.7363520098085843,0.7604088014792,6.9146709596415,True
domain:cybersecurity,ineligible_removal,5,51,1683,388,5734,3.7363520098085843,-1.3172467373606298,7.121879588839941,False
domain:cybersecurity,ineligible_removal,10,51,1683,388,5734,3.7363520098085843,-3.3663366336633667,7.517922883162178,False
domain:education,label_flips,0,35,1683,149,5734,0.5189153273849306,0.5189153273849306,0.5189153273849306,True
domain:education,label_flips,1,35,1683,149,5734,0.5189153273849306,-1.425838433163163,2.4636690879330243,False
domain:education,label_flips,3,35,1683,149,5734,0.5189153273849306,-5.05050505050505,5.598186257411928,False
domain:education,label_flips,5,35,1683,149,5734,0.5189153273849306,-7.07070707070707,7.586327171259157,False
domain:education,label_flips,10,35,1683,149,5734,0.5189153273849306,-12.06179441473559,12.59155912103244,False
domain:education,ineligible_removal,0,35,1683,149,5734,0.5189153273849306,0.5189153273849306,0.5189153273849306,True
domain:education,ineligible_removal,1,35,1683,149,5734,0.5189153273849306,-0.47900583702178007,1.4848536369879453,False
domain:education,ineligible_removal,3,35,1683,149,5734,0.5189153273849306,-2.1432945499081444,2.6788924847177276,False
domain:education,ineligible_removal,5,35,1683,149,5734,0.5189153273849306,-2.1888680425265794,2.734948604992658,False
domain:education,ineligible_removal,10,35,1683,149,5734,0.5189153273849306,-2.31023102310231,2.887037395853517,False
domain:engineering,label_flips,0,61,1683,509,5734,5.252394686933762,5.252394686933762,5.252394686933762,True
domain:engineering,label_flips,1,61,1683,509,5734,5.252394686933762,3.3076409263856696,7.197148447481856,True
domain:engineering,label_flips,3,61,1683,509,5734,5.252394686933762,-0.7181418402411855,11.22293121410871,False
domain:engineering,label_flips,5,61,1683,509,5734,5.252394686933762,-4.726484774290433,13.864666899197767,False
domain:engineering,label_flips,10,61,1683,509,5734,5.252394686933762,-13.606654783125371,18.86989884897105,False
domain:engineering,ineligible_removal,0,61,1683,509,5734,5.252394686933762,5.252394686933762,5.252394686933762,True
domain:engineering,ineligible_removal,1,61,1683,509,5734,5.252394686933762,4.3026835887006145,6.266543062710339,True
domain:engineering,ineligible_removal,3,61,1683,509,5734,5.252394686933762,2.3235153773979804,8.47777753556028,True
domain:engineering,ineligible_removal,5,61,1683,509,5734,5.252394686933762,0.27836092491728,9.34287812041116,True
domain:engineering,ineligible_removal,10,61,1683,509,5734,5.252394686933762,-4.026402640264026,9.862429761674093,False
domain:finance_and_business,label_flips,0,102,1683,667,5734,5.571762268657979,5.571762268657979,5.571762268657979,True
domain:finance_and_business,label_flips,1,102,1683,667,5734,5.571762268657979,3.6270085081098844,7.5165160292060715,True
domain:finance_and_business,label_flips,3,102,1683,667,5734,5.571762268657979,-0.3987742585169693,11.542298795832926,False
domain:finance_and_business,label_flips,5,102,1683,667,5734,5.571762268657979,-4.407117192566218,15.550641729882175,False
domain:finance_and_business,label_flips,10,102,1683,667,5734,5.571762268657979,-14.40343648636802,21.625392396232996,False
domain:finance_and_business,ineligible_removal,0,102,1683,667,5734,5.571762268657979,5.571762268657979,5.571762268657979,True
domain:finance_and_business,ineligible_removal,1,102,1683,667,5734,5.571762268657979,4.626335610101865,6.590195084111591,True
domain:finance_and_business,ineligible_removal,3,102,1683,667,5734,5.571762268657979,2.653503687100795,8.807765845263095,True
domain:finance_and_business,ineligible_removal,5,102,1683,667,5734,5.571762268657979,0.6144052036928374,11.117321398561325,True
domain:finance_and_business,ineligible_removal,10,102,1683,667,5734,5.571762268657979,-4.911320816251361,12.923851966673125,False
domain:general_or_cross_domain,label_flips,0,792,1683,2237,5734,-8.045918053304336,-8.045918053304336,-8.045918053304336,True
domain:general_or_cross_domain,label_flips,1,792,1683,2237,5734,-8.045918053304336,-9.990671813852432,-6.101164292756245,True
domain:general_or_cross_domain,label_flips,3,792,1683,2237,5734,-8.045918053304336,-14.016454580479282,-2.075381526129388,True
domain:general_or_cross_domain,label_flips,5,792,1683,2237,5734,-8.045918053304336,-18.02479751452853,1.9329614079198643,False
domain:general_or_cross_domain,label_flips,10,792,1683,2237,5734,-8.045918053304336,-28.021116808330337,11.929280701721662,False
domain:general_or_cross_domain,ineligible_removal,0,792,1683,2237,5734,-8.045918053304336,-8.045918053304336,-8.045918053304336,True
domain:general_or_cross_domain,ineligible_removal,1,792,1683,2237,5734,-8.045918053304336,-9.109934222420973,-7.146074748411246,True
domain:general_or_cross_domain,ineligible_removal,3,792,1683,2237,5734,-8.045918053304336,-11.37276105706358,-5.218498898901275,True
domain:general_or_cross_domain,ineligible_removal,5,792,1683,2237,5734,-8.045918053304336,-13.719649946414748,-3.2167337515462577,True
domain:general_or_cross_domain,ineligible_removal,10,792,1683,2237,5734,-8.045918053304336,-20.035414120757167,2.1561943057316793,False
domain:healthcare_biomedicine,label_flips,0,174,1683,736,5734,2.4970358502027166,2.4970358502027166,2.4970358502027166,True
domain:healthcare_biomedicine,label_flips,1,174,1683,736,5734,2.4970358502027166,0.5522820896546252,4.441789610750813,True
domain:healthcare_biomedicine,label_flips,3,174,1683,736,5734,2.4970358502027166,-3.47350067697223,8.467572377377667,False
domain:healthcare_biomedicine,label_flips,5,174,1683,736,5734,2.4970358502027166,-7.481843611021476,12.475915311426917,False
domain:healthcare_biomedicine,label_flips,10,174,1683,736,5734,2.4970358502027166,-17.47816290482328,22.472234605228717,False
domain:healthcare_biomedicine,ineligible_removal,0,174,1683,736,5734,2.4970358502027166,2.4970358502027166,2.4970358502027166,True
domain:healthcare_biomedicine,ineligible_removal,1,174,1683,736,5734,2.4970358502027166,1.5226301225574863,3.4864895965672105,True
domain:healthcare_biomedicine,ineligible_removal,3,174,1683,736,5734,2.4970358502027166,-0.5149984376971464,5.639263720465154,False
domain:healthcare_biomedicine,ineligible_removal,5,174,1683,736,5734,2.4970358502027166,-2.621889231430437,7.8810269634380505,False
domain:healthcare_biomedicine,ineligible_removal,10,174,1683,736,5734,2.4970358502027166,-8.326845860327168,13.864762566161673,False
domain:language_and_communication,label_flips,0,334,1683,647,5734,-8.561942285449128,-8.561942285449128,-8.561942285449128,True
domain:language_and_communication,label_flips,1,334,1683,647,5734,-8.561942285449128,-10.506696045997222,-6.6171885249010325,True
domain:language_and_communication,label_flips,3,334,1683,647,5734,-8.561942285449128,-14.532478812624076,-2.591405758274179,True
domain:language_and_communication,label_flips,5,334,1683,647,5734,-8.561942285449128,-18.540821746673323,1.4169371757750682,False
domain:language_and_communication,label_flips,10,334,1683,647,5734,-8.561942285449128,-28.537141040475127,11.41325646957687,False
domain:language_and_communication,ineligible_removal,0,334,1683,647,5734,-8.561942285449128,-8.561942285449128,-8.561942285449128,True
domain:language_and_communication,ineligible_removal,1,334,1683,647,5734,-8.561942285449128,-9.643179695926236,-7.679320221916512,True
domain:language_and_communication,ineligible_removal,3,334,1683,647,5734,-8.561942285449128,-11.91306021328792,-5.758798055125619,True
domain:language_and_communication,ineligible_removal,5,334,1683,647,5734,-8.561942285449128,-14.261770159212944,-3.7588539643444565,True
domain:language_and_communication,ineligible_removal,10,334,1683,647,5734,-8.561942285449128,-20.612373967487816,1.5792344590010248,False
domain:law_and_public_policy,label_flips,0,46,1683,219,5734,1.0861088365756082,1.0861088365756082,1.0861088365756082,True
domain:law_and_public_policy,label_flips,1,46,1683,219,5734,1.0861088365756082,-0.858644923972485,3.0308625971237024,False
domain:law_and_public_policy,label_flips,3,46,1683,219,5734,1.0861088365756082,-4.884427690599339,6.818974537844437,False
domain:law_and_public_policy,label_flips,5,46,1683,219,5734,1.0861088365756082,-7.724301841948901,8.807115451691663,False
domain:law_and_public_policy,label_flips,10,46,1683,219,5734,1.0861088365756082,-12.715389185977422,13.812347401464947,False
domain:law_and_public_policy,ineligible_removal,0,46,1683,219,5734,1.0861088365756082,1.0861088365756082,1.0861088365756082,True
domain:law_and_public_policy,ineligible_removal,1,46,1683,219,5734,1.0861088365756082,0.09417175927153854,2.0580312332812634,True
domain:law_and_public_policy,ineligible_removal,3,46,1683,219,5734,1.0861088365756082,-1.9718816313920924,3.9374325782092776,False
domain:law_and_public_policy,ineligible_removal,5,46,1683,219,5734,1.0861088365756082,-2.8767979987492183,4.0198237885462555,False
domain:law_and_public_policy,ineligible_removal,10,46,1683,219,5734,1.0861088365756082,-3.036303630363036,4.243363689207518,False
domain:mathematics_and_formal_reasoning,label_flips,0,210,1683,528,5734,-3.2694867590946695,-3.2694867590946695,-3.2694867590946695,True
domain:mathematics_and_formal_reasoning,label_flips,1,210,1683,528,5734,-3.2694867590946695,-5.2142405196427655,-1.3247329985465781,True
domain:mathematics_and_formal_reasoning,label_flips,3,210,1683,528,5734,-3.2694867590946695,-9.240023286269619,2.701049768080277,False
domain:mathematics_and_formal_reasoning,label_flips,5,210,1683,528,5734,-3.2694867590946695,-13.248366220318866,6.709392702129524,False
domain:mathematics_and_formal_reasoning,label_flips,10,210,1683,528,5734,-3.2694867590946695,-22.459893048128343,16.705711995931328,False
domain:mathematics_and_formal_reasoning,ineligible_removal,0,210,1683,528,5734,-3.2694867590946695,-3.2694867590946695,-3.2694867590946695,True
domain:mathematics_and_formal_reasoning,ineligible_removal,1,210,1683,528,5734,-3.2694867590946695,-4.3008449569554115,-2.3369854829456873,True
domain:mathematics_and_formal_reasoning,ineligible_removal,3,210,1683,528,5734,-3.2694867590946695,-6.4591919668347,-0.3049298086723981,True
domain:mathematics_and_formal_reasoning,ineligible_removal,5,210,1683,528,5734,-3.2694867590946695,-8.691211192017038,1.8117050028514519,False
domain:mathematics_and_formal_reasoning,ineligible_removal,10,210,1683,528,5734,-3.2694867590946695,-13.861386138613863,7.458298242147408,False
domain:natural_sciences,label_flips,0,121,1683,535,5734,2.140767945359751,2.140767945359751,2.140767945359751,True
domain:natural_sciences,label_flips,1,121,1683,535,5734,2.140767945359751,0.19601418481165755,4.085521705907844,True
domain:natural_sciences,label_flips,3,121,1683,535,5734,2.140767945359751,-3.8297685818151974,8.111304472534698,False
domain:natural_sciences,label_flips,5,121,1683,535,5734,2.140767945359751,-7.838111515864443,12.119647406583944,False
domain:natural_sciences,label_flips,10,121,1683,535,5734,2.140767945359751,-17.17171717171717,19.32333449598884,False
domain:natural_sciences,ineligible_removal,0,121,1683,535,5734,2.140767945359751,2.140767945359751,2.140767945359751,True
domain:natural_sciences,ineligible_removal,1,121,1683,535,5734,2.140767945359751,1.1613918188706802,3.1252512928804057,True
domain:natural_sciences,ineligible_removal,3,121,1683,535,5734,2.140767945359751,-0.8832461020048338,5.271016056157467,False
domain:natural_sciences,ineligible_removal,5,121,1683,535,5734,2.140767945359751,-2.9967449369512336,7.506171257917256,False
domain:natural_sciences,ineligible_removal,10,121,1683,535,5734,2.140767945359751,-7.986798679867987,10.366208099205581,False
domain:other,label_flips,0,41,1683,254,5734,1.9935915091745127,1.9935915091745127,1.9935915091745127,True
domain:other,label_flips,1,41,1683,254,5734,1.9935915091745127,0.04883774862641868,3.938345269722606,True
domain:other,label_flips,3,41,1683,254,5734,1.9935915091745127,-3.9769450180004355,7.429368678060691,False
domain:other,label_flips,5,41,1683,254,5734,1.9935915091745127,-7.427213309566251,9.417509591907917,False
domain:other,label_flips,10,41,1683,254,5734,1.9935915091745127,-12.418300653594772,14.4227415416812,False
domain:other,ineligible_removal,0,41,1683,254,5734,1.9935915091745127,1.9935915091745127,1.9935915091745127,True
domain:other,ineligible_removal,1,41,1683,254,5734,1.9935915091745127,1.0106345826131589,2.974494056622884,True
domain:other,ineligible_removal,3,41,1683,254,5734,1.9935915091745127,-1.0364266489451541,4.5667026249550515,False
domain:other,ineligible_removal,5,41,1683,254,5734,1.9935915091745127,-2.564102564102564,4.662261380323055,False
domain:other,ineligible_removal,10,41,1683,254,5734,1.9935915091745127,-2.706270627062706,4.921526835884518,False
domain:social_sciences_and_humanities,label_flips,0,191,1683,640,5734,-0.1872890873485883,-0.1872890873485883,-0.1872890873485883,True
domain:social_sciences_and_humanities,label_flips,1,191,1683,640,5734,-0.1872890873485883,-2.132042847896683,1.757464673199506,False
domain:social_sciences_and_humanities,label_flips,3,191,1683,640,5734,-0.1872890873485883,-6.157825614523538,5.78324743982636,False
domain:social_sciences_and_humanities,label_flips,5,191,1683,640,5734,-0.1872890873485883,-10.166168548572783,9.791590373875609,False
domain:social_sciences_and_humanities,label_flips,10,191,1683,640,5734,-0.1872890873485883,-20.162487842374585,19.78790966767741,False
domain:social_sciences_and_humanities,ineligible_removal,0,191,1683,640,5734,-0.1872890873485883,-0.1872890873485883,-0.1872890873485883,True
domain:social_sciences_and_humanities,ineligible_removal,1,191,1683,640,5734,-0.1872890873485883,-1.1881999150636675,0.7756595589460582,False
domain:social_sciences_and_humanities,ineligible_removal,3,191,1683,640,5734,-0.1872890873485883,-3.2820250615837985,2.872237096578502,False
domain:social_sciences_and_humanities,ineligible_removal,5,191,1683,640,5734,-0.1872890873485883,-5.447168246673995,5.055747948194493,False
domain:social_sciences_and_humanities,ineligible_removal,10,191,1683,640,5734,-0.1872890873485883,-11.309062702433778,10.882545724055065,False
domain:software_and_coding,label_flips,0,270,1683,1128,5734,3.6293503988778815,3.6293503988778815,3.6293503988778815,True
domain:software_and_coding,label_flips,1,270,1683,1128,5734,3.6293503988778815,1.6845966383297883,5.574104159425975,True
domain:software_and_coding,label_flips,3,270,1683,1128,5734,3.6293503988778815,-2.3411861282970654,9.59988692605283,False
domain:software_and_coding,label_flips,5,270,1683,1128,5734,3.6293503988778815,-6.3495290623463125,13.608229860102078,False
domain:software_and_coding,label_flips,10,270,1683,1128,5734,3.6293503988778815,-16.345848356148117,23.604549153903882,False
domain:software_and_coding,ineligible_removal,0,270,1683,1128,5734,3.6293503988778815,3.6293503988778815,3.6293503988778815,True
domain:software_and_coding,ineligible_removal,1,270,1683,1128,5734,3.6293503988778815,2.668837379256578,4.632696853266302,True
domain:software_and_coding,ineligible_removal,3,270,1683,1128,5734,3.6293503988778815,0.6540753203931937,6.808337478555493,True
domain:software_and_coding,ineligible_removal,5,270,1683,1128,5734,3.6293503988778815,-1.4303405487460479,9.072575646122438,False
domain:software_and_coding,ineligible_removal,10,270,1683,1128,5734,3.6293503988778815,-7.068052280911097,15.123556145577744,False
